"18838","中国船舶重工集团公司北京长城无线电厂","5020","CSIC-Beijing Great Wall Radio Factory","No.30 Xueyuan Road(s),Haidian District,Beijing,China","北京市海淀区学院南路30号","www.bgwr.com.cn","5201","电子及声学测量仪器，电控及通信设备，汽车收音机，水声工程等。","100088","bgwr@china.com","010-62253344","010-62250376"
"18839","北京航天益来电子科技有限公司","5020","China YiLai Aerospace Electronics Co.,Ltd","No.9 Shuangyuan Road, Badachu Science&Technology Zone,Shijingshan District,Beijing,China","北京市石景山区八大处科技园区双园路9号　","","5213","CYA-300B 型船舶航行数据记录仪（VDR)。","100041","cya@cya.com.cn　","010-88797777","010-88796789"
"18840","上海求新船舶附件厂","5020","Shanghai Qiuxin Marine Accessories Factory","No.50 Miaojiang Road ,Huangpu District","黄浦区苗江路50号","","5205","船舶及设备制造、修理，船用钢质、铝质、不锈钢家具，软垫家具，钢结构件，生产流水线制作安装，办公桌、柜、箱车。","200011","","021-63776794","021-63776859"
"18841","温岭市航海电器仪表厂","","","","","","","","","","",""
"18842","温岭市航海电器仪表厂","5020","Wenling  Navigation Electronic Instrument  Factory","Nanquan Industrial Area，Wenling，Zhejiang，China","温岭市南泉二期工业区","wwchinahanghaicom","5203","舵角指示器、转速表、水温表、油压表、磁力启动器、船用扩音器等。","317500","office@chinahanghai.com","0576-86046001","0576-86042166"
"18843","温岭市松门航海渔业机械厂","5020","Wenling Songmen Navigation Fishery Machinery Facto","No.8 Houzhang Lane，Songmen，Wenling，，Zhejiang，China","温岭市松门后张巷8号","","5203","液压舵机。","317511","","0576-86661548","0576-86655668"
"18844","温州航海通讯厂","5020","Wenzhou Navigation Communication Plant","No.12 Jurentan，Lucheng District，Wenzhou，Zhejiang，China","温州市鹿城区举人坦12号","","5203","各种舰船扬声器（明式、暗式、顺顶式、双面式、高音及防爆式），带锁扣船用遥控按钮盒。","325000","jjeast@126.com","0577-88290828","0577-88256762"
"18845","温州沪乐集团有限公司（浙江沪乐电气制造有限公司）","5020","Wenzhou Hule Group  Co.,Ltd（Zhejiang Hule Electric","Hongqiao Road，Hongqiao Town，Yueqing，Zhejiang，China","乐清市虹桥镇虹桥路","www.hulegroup.com","5203","舰船用荧光灯具、防爆用荧光灯具、航行信号灯、白炽防爆灯产品。","325608","hule@mail.wzptt.zj.cn","0577-62322223","0577-62312223"
"18846","温州市博弘电器有限公司","5020","Wenzhou Bohong Electricty Co.,Ltd","No.2 Dongjingyi Road，Ouhai Economic deveioping area，Wenzhou，，Zhejiang，China","温州市瓯海经济开发区东经一路2号","","5203","船用电器装置。","325014","bhdqj2008@sina.com","0577-86087817","0577-86087867"
"18847","温州市东海机器制造厂","5020","Wenzhou Donghai  Machinery Factory ","No.11 Gaotian Road，Wenzhou，，Zhejiang，China","温州市高田路11号","","5203","甲板机械。","325003","","0577-88338752","0577-88333273"
"18848","温州市海洋环保设备厂","5020","WenzhouMarine Environmental Machinery Factory ","No.11 Gaotian Road，Yueqing Industrial Area，Wenzhou，，Zhejiang，China","温州市乐清中心工业园区高田路11号","","5203","围油栏、收油机、消油剂、吸油毡、消油剂喷洒装置、收油网、围油索等防油污产品。","325600","","0577-62653710","0577-62053810"
